n:59 mse_avg:4.62 mse_y:6.67 mse_u:0.52 mse_v:0.51 psnr_avg:41.49 psnr_y:39.89 psnr_u:51.01 psnr_v:51.07 
n:60 mse_avg:4.81 mse_y:6.91 mse_u:0.63 mse_v:0.58 psnr_avg:41.31 psnr_y:39.74 psnr_u:50.14 psnr_v:50.47 
n:61 mse_avg:4.96 mse_y:7.18 mse_u:0.53 mse_v:0.52 psnr_avg:41.17 psnr_y:39.57 psnr_u:50.88 psnr_v:50.95 
n:62 mse_avg:5.52 mse_y:7.97 mse_u:0.64 mse_v:0.60 psnr_avg:40.71 psnr_y:39.11 psnr_u:50.04 psnr_v:50.37 
n:63 mse_avg:5.79 mse_y:8.40 mse_u:0.59 mse_v:0.53 psnr_avg:40.50 psnr_y:38.89 psnr_u:50.39 psnr_v:50.91 
n:64 mse_avg:5.35 mse_y:7.69 mse_u:0.68 mse_v:0.65 psnr_avg:40.85 psnr_y:39.27 psnr_u:49.77 psnr_v:50.02 
n:65 mse_avg:5.40 mse_y:7.79 mse_u:0.64 mse_v:0.62 psnr_avg:40.80 psnr_y:39.22 psnr_u:50.07 psnr_v:50.19 
n:66 mse_avg:6.15 mse_y:8.85 mse_u:0.75 mse_v:0.75 psnr_avg:40.24 psnr_y:38.66 psnr_u:49.38 psnr_v:49.40 
n:67 mse_avg:6.07 mse_y:8.77 mse_u:0.66 mse_v:0.68 psnr_avg:40.30 psnr_y:38.70 psnr_u:49.93 psnr_v:49.82 
n:68 mse_avg:6.03 mse_y:8.67 mse_u:0.74 mse_v:0.75 psnr_avg:40.33 psnr_y:38.75 psnr_u:49.42 psnr_v:49.41 
n:69 mse_avg:6.45 mse_y:9.27 mse_u:0.86 mse_v:0.79 psnr_avg:40.03 psnr_y:38.46 psnr_u:48.77 psnr_v:49.17 
n:70 mse_avg:6.42 mse_y:9.19 mse_u:0.95 mse_v:0.82 psnr_avg:40.06 psnr_y:38.50 psnr_u:48.34 psnr_v:48.99 
